empresa_key,empresa_nome,ticker_b3,setor,data_referencia,ano,trimestre,periodo,divida_total,divida_liquida,caixa_equivalentes,patrimonio_liquido,capital_investido,despesa_financeira,ebitda,ebit,nopat,divida_ebitda,roic_pct,roe_pct,roa_pct,custo_implicito_divida_pct,selic_meta_pct,ipca_acum_12m_pct,juros_real_pct,cambio_brl_usd,spread_roic_selic,regime_selic,choque_periodo,dado_revisado
WEG,WEG S.A.,WEGE3,Indústria / Motores,2020-06-30,2020,2,2020-Q2,1956542.0,1578187.0,378355.0,0.0,1956542.0,578703.0,809151.0,805467.0,531608.22,2.42,27.17,,,29.58,2.25,2.13,0.12,5.3854,24.92,Selic_Minima_<4pct,Pandemia_2020,False
WEG,WEG S.A.,WEGE3,Indústria / Motores,2020-09-30,2020,3,2020-Q3,1851967.0,1465437.0,386530.0,0.0,1851967.0,813853.0,1288872.0,1283556.0,847146.96,1.44,45.74,,,43.95,2.0,3.14,-1.14,5.3772,43.74,Selic_Minima_<4pct,Pandemia_2020,False
WEG,WEG S.A.,WEGE3,Indústria / Motores,2021-03-31,2021,1,2021-Q1,1696308.0,797156.0,899152.0,0.0,1696308.0,381948.0,522304.0,518937.0,342498.42,3.25,20.19,,,22.52,2.75,6.1,-3.35,5.4833,17.44,Selic_Minima_<4pct,Espiral_Inflac_2021-22,False
WEG,WEG S.A.,WEGE3,Indústria / Motores,2021-06-30,2021,2,2021-Q2,1454592.0,938929.0,515663.0,0.0,1454592.0,620406.0,1144046.0,1138402.0,751345.32,1.27,51.65,,,42.65,4.25,8.35,-4.1,5.2907,47.4,Selic_Baixa_4a8pct,Espiral_Inflac_2021-22,False
WEG,WEG S.A.,WEGE3,Indústria / Motores,2021-09-30,2021,3,2021-Q3,1587892.0,536899.0,1050993.0,0.0,1587892.0,849012.0,1963759.0,1955886.0,1290884.76,0.81,81.3,,,53.47,6.25,10.25,-4.0,5.2286,75.05,Selic_Baixa_4a8pct,Espiral_Inflac_2021-22,False
WEG,WEG S.A.,WEGE3,Indústria / Motores,2022-03-31,2022,1,2022-Q1,3025976.0,2176885.0,849091.0,0.0,3025976.0,153330.0,897606.0,893182.0,589500.12,3.37,19.48,,864.29,5.07,11.75,11.3,0.45,5.2299,7.73,Selic_Mod_8a13pct,Espiral_Inflac_2021-22,False
WEG,WEG S.A.,WEGE3,Indústria / Motores,2022-06-30,2022,2,2022-Q2,2809257.0,2241136.0,568121.0,0.0,2809257.0,438579.0,2165617.0,2159154.0,1425041.64,1.3,50.73,,1018.04,15.61,13.25,11.89,1.36,4.9266,37.48,Selic_Alta_>=13pct,Espiral_Inflac_2021-22,False
WEG,WEG S.A.,WEGE3,Indústria / Motores,2022-09-30,2022,3,2022-Q3,3789860.0,2411991.0,1377869.0,0.0,3789860.0,597163.0,3182041.0,3173195.0,2094308.7,1.19,55.26,,1291.31,15.76,13.75,7.17,6.58,5.2462,41.51,Selic_Alta_>=13pct,Espiral_Inflac_2021-22,False
WEG,WEG S.A.,WEGE3,Indústria / Motores,2023-03-31,2023,1,2023-Q1,3398222.0,1918567.0,1479655.0,0.0,3398222.0,369835.0,1103643.0,1098588.0,725068.08,3.08,21.34,,1245.9,10.88,13.75,4.65,9.1,5.1963,7.59,Selic_Alta_>=13pct,Periodo_Normal,False
WEG,WEG S.A.,WEGE3,Indústria / Motores,2023-06-30,2023,2,2023-Q2,2732355.0,1838359.0,893996.0,0.0,2732355.0,535103.0,2228411.0,2220029.0,1465219.14,1.23,53.62,,1304.78,19.58,13.75,3.16,10.59,4.9485,39.87,Selic_Alta_>=13pct,Periodo_Normal,False
WEG,WEG S.A.,WEGE3,Indústria / Motores,2023-09-30,2023,3,2023-Q3,2623753.0,1711154.0,912599.0,0.0,2623753.0,863745.0,3654151.0,3645976.0,2406344.16,0.72,91.71,,1250.7,32.92,12.75,5.19,7.56,4.8803,78.96,Selic_Mod_8a13pct,Periodo_Normal,False
WEG,WEG S.A.,WEGE3,Indústria / Motores,2024-03-31,2024,1,2024-Q1,2557769.0,982413.0,1575356.0,0.0,2557769.0,320134.0,1542699.0,1538193.0,1015207.38,1.66,39.69,,1099.14,12.52,10.75,3.93,6.82,4.9515,28.94,Selic_Mod_8a13pct,Periodo_Normal,False
WEG,WEG S.A.,WEGE3,Indústria / Motores,2024-06-30,2024,2,2024-Q2,4018255.0,2100834.0,1917421.0,0.0,4018255.0,732843.0,3226341.0,3219466.0,2124847.56,1.25,52.88,,1193.25,18.24,10.5,4.23,6.27,5.2129,42.38,Selic_Mod_8a13pct,Periodo_Normal,False
WEG,WEG S.A.,WEGE3,Indústria / Motores,2024-09-30,2024,3,2024-Q3,2808944.0,1459607.0,1349337.0,0.0,2808944.0,996852.0,4809040.0,4800635.0,3168419.1,0.58,112.8,,1306.66,35.49,10.75,4.42,6.33,5.5454,102.05,Selic_Mod_8a13pct,Periodo_Normal,False
