Date,Year,Month,Unemployment_Rate,Real_Min_Wage_BRL,GDP_USD
2022-07,2022,7,9.1,1417.84745114916,1951.849
2022-08,2022,8,8.9,1422.25606100399,1951.849
2022-09,2022,9,8.7,1426.82179426221,1951.849
2022-10,2022,10,8.3,1420.1467856723,1951.849
2022-11,2022,11,8.1,1414.77127829686,1951.849
2022-12,2022,12,7.9,1405.07526971511,1951.849
2023-01,2023,1,8.4,1502.50065607837,2191.137
2023-02,2023,2,8.6,1491.02087976349,2191.137
2023-03,2023,3,8.8,1481.53876282141,2191.137
2023-04,2023,4,8.5,1473.72828247092,2191.137
2023-05,2023,5,8.3,1488.74222066192,2191.137
2023-06,2023,6,8.0,1490.23174764063,2191.137
2023-07,2023,7,7.9,1491.57465585879,2191.137
2023-08,2023,8,7.8,1488.59753435268,2191.137
2023-09,2023,9,7.7,1486.96259224431,2191.137
2023-10,2023,10,7.6,1485.18076526204,2191.137
2023-11,2023,11,7.5,1483.69702314688,2191.137
2023-12,2023,12,7.4,1475.58171836762,2191.137
2024-01,2024,1,7.6,1569.47971371301,2171.337
2024-02,2024,2,7.8,1556.87006295534,2171.337
2024-03,2024,3,7.9,1553.91695012903,2171.337
2024-04,2024,4,7.5,1548.18830079951,2171.337
2024-05,2024,5,7.1,1541.09851344692,2171.337
2024-06,2024,6,6.9,1537.25493908416,2171.337
2024-07,2024,7,6.8,1533.26771300511,2171.337
2024-08,2024,8,6.6,1535.41656747627,2171.337
2024-09,2024,9,6.4,1528.08131550265,2171.337
2024-10,2024,10,6.2,1518.81687233404,2171.337
2024-11,2024,11,6.1,1513.82154962946,2171.337
2024-12,2024,12,6.2,1506.58937876989,2171.337
